,CH1,CH2
Second,Volt,Volt
1.52000e-02,4.48e+00,5.12e+00, 
1.56000e-02,4.40e+00,5.04e+00, 
1.60000e-02,4.56e+00,5.12e+00, 
1.64000e-02,4.32e+00,5.12e+00, 
1.68000e-02,4.32e+00,5.12e+00, 
1.72000e-02,3.92e+00,5.12e+00, 
1.76000e-02,3.92e+00,5.12e+00, 
1.80000e-02,3.68e+00,5.12e+00, 
1.84000e-02,3.68e+00,5.12e+00, 
1.88000e-02,3.28e+00,5.12e+00, 
1.92000e-02,3.28e+00,5.12e+00, 
1.96000e-02,2.80e+00,5.12e+00, 
2.00000e-02,2.80e+00,5.12e+00, 
2.04000e-02,2.24e+00,-1.60e-01, 
2.08000e-02,2.24e+00,-8.00e-02, 
2.12000e-02,1.84e+00,-1.60e-01, 
2.16000e-02,1.76e+00,-8.00e-02, 
2.20000e-02,1.44e+00,-8.00e-02, 
2.24000e-02,1.52e+00,-8.00e-02, 
2.28000e-02,1.28e+00,-8.00e-02, 
2.32000e-02,1.20e+00,-8.00e-02, 
2.36000e-02,9.60e-01,-8.00e-02, 
2.40000e-02,9.60e-01,-8.00e-02, 
2.44000e-02,8.00e-01,0.00e+00, 
2.48000e-02,8.00e-01,-8.00e-02, 
2.52000e-02,9.60e-01,-8.00e-02, 
2.56000e-02,8.80e-01,-8.00e-02, 
2.60000e-02,8.00e-01,0.00e+00, 
2.64000e-02,8.00e-01,-8.00e-02, 
2.68000e-02,1.20e+00,0.00e+00, 
2.72000e-02,1.28e+00,-8.00e-02, 
2.76000e-02,1.44e+00,-8.00e-02, 
2.80000e-02,1.52e+00,-8.00e-02, 
2.84000e-02,1.84e+00,-8.00e-02, 
2.88000e-02,1.92e+00,-8.00e-02, 
2.92000e-02,2.16e+00,-8.00e-02, 
2.96000e-02,2.24e+00,-8.00e-02, 
3.00000e-02,2.80e+00,5.20e+00, 
3.04000e-02,2.80e+00,5.20e+00, 
3.08000e-02,3.28e+00,5.12e+00, 
3.12000e-02,3.36e+00,5.20e+00, 
3.16000e-02,3.68e+00,5.20e+00, 
3.20000e-02,3.68e+00,5.20e+00, 
3.24000e-02,3.92e+00,5.12e+00, 
3.28000e-02,3.92e+00,5.20e+00, 
3.32000e-02,4.24e+00,5.12e+00, 
3.36000e-02,4.24e+00,5.12e+00, 
3.40000e-02,4.40e+00,5.12e+00, 
3.44000e-02,4.40e+00,5.12e+00, 
3.48000e-02,4.48e+00,5.12e+00, 
3.52000e-02,4.40e+00,5.12e+00, 
3.56000e-02,4.48e+00,5.12e+00, 
3.60000e-02,4.48e+00,5.12e+00, 
3.64000e-02,4.24e+00,5.12e+00, 
3.68000e-02,4.24e+00,5.20e+00, 
3.72000e-02,3.92e+00,5.12e+00, 
3.76000e-02,3.92e+00,5.12e+00, 
3.80000e-02,3.68e+00,5.12e+00, 
3.84000e-02,3.60e+00,5.12e+00, 
3.88000e-02,3.28e+00,5.12e+00, 
3.92000e-02,3.36e+00,5.12e+00, 
3.96000e-02,2.80e+00,5.12e+00, 
4.00000e-02,2.80e+00,5.12e+00, 
4.04000e-02,2.24e+00,-1.60e-01, 
4.08000e-02,2.24e+00,-8.00e-02, 
4.12000e-02,1.84e+00,-8.00e-02, 
4.16000e-02,1.84e+00,-8.00e-02, 
4.20000e-02,1.52e+00,-8.00e-02, 
4.24000e-02,1.52e+00,-8.00e-02, 
4.28000e-02,1.28e+00,-8.00e-02, 
4.32000e-02,1.20e+00,-8.00e-02, 
4.36000e-02,9.60e-01,-8.00e-02, 
4.40000e-02,9.60e-01,-8.00e-02, 
4.44000e-02,8.00e-01,0.00e+00, 
4.48000e-02,9.60e-01,-8.00e-02, 
4.52000e-02,8.00e-01,-8.00e-02, 
4.56000e-02,8.00e-01,-8.00e-02, 
4.60000e-02,9.60e-01,0.00e+00, 
4.64000e-02,8.00e-01,-8.00e-02, 
4.68000e-02,1.20e+00,-8.00e-02, 
4.72000e-02,1.28e+00,-8.00e-02, 
4.76000e-02,1.44e+00,-8.00e-02, 
4.80000e-02,1.52e+00,-8.00e-02, 
4.84000e-02,1.84e+00,-8.00e-02, 
4.88000e-02,1.84e+00,-8.00e-02, 
4.92000e-02,2.16e+00,-8.00e-02, 
4.96000e-02,2.24e+00,-8.00e-02, 
5.00000e-02,2.80e+00,5.20e+00, 
5.04000e-02,2.80e+00,5.20e+00, 
5.08000e-02,3.36e+00,5.12e+00, 
5.12000e-02,3.28e+00,5.20e+00, 
5.16000e-02,3.60e+00,5.12e+00, 
5.20000e-02,3.68e+00,5.20e+00, 
5.24000e-02,3.92e+00,5.12e+00, 
5.28000e-02,3.92e+00,5.12e+00, 
5.32000e-02,4.24e+00,5.20e+00, 
5.36000e-02,4.16e+00,5.12e+00, 
5.40000e-02,4.48e+00,5.12e+00, 
5.44000e-02,4.48e+00,5.12e+00, 
5.48000e-02,4.32e+00,5.04e+00, 
5.52000e-02,4.56e+00,5.12e+00, 
5.56000e-02,4.24e+00,5.12e+00, 
5.60000e-02,4.48e+00,5.12e+00, 
5.64000e-02,4.32e+00,5.12e+00, 
5.68000e-02,4.24e+00,5.12e+00, 
5.72000e-02,3.92e+00,5.12e+00, 
5.76000e-02,3.92e+00,5.12e+00, 
5.80000e-02,3.68e+00,5.12e+00, 
5.84000e-02,3.68e+00,5.12e+00, 
5.88000e-02,3.28e+00,5.12e+00, 
5.92000e-02,3.28e+00,5.12e+00, 
5.96000e-02,2.80e+00,5.20e+00, 
6.00000e-02,2.80e+00,5.12e+00, 
6.04000e-02,2.24e+00,-8.00e-02, 
6.08000e-02,2.16e+00,-8.00e-02, 
6.12000e-02,1.92e+00,-1.60e-01, 
6.16000e-02,1.92e+00,-8.00e-02, 
6.20000e-02,1.52e+00,-8.00e-02, 
6.24000e-02,1.60e+00,-8.00e-02, 
6.28000e-02,1.28e+00,-8.00e-02, 
6.32000e-02,1.36e+00,-8.00e-02, 
6.36000e-02,9.60e-01,-8.00e-02, 
6.40000e-02,1.04e+00,-8.00e-02, 
6.44000e-02,8.00e-01,-8.00e-02, 
6.48000e-02,9.60e-01,-8.00e-02, 
6.52000e-02,8.00e-01,0.00e+00, 
6.56000e-02,8.00e-01,-8.00e-02, 
6.60000e-02,8.80e-01,0.00e+00, 
6.64000e-02,8.00e-01,-8.00e-02, 
6.68000e-02,1.12e+00,-8.00e-02, 
6.72000e-02,1.20e+00,-8.00e-02, 
6.76000e-02,1.44e+00,-8.00e-02, 
6.80000e-02,1.44e+00,-8.00e-02, 
6.84000e-02,1.76e+00,0.00e+00, 
6.88000e-02,1.84e+00,-8.00e-02, 
6.92000e-02,2.16e+00,-8.00e-02, 
6.96000e-02,2.24e+00,-8.00e-02, 
7.00000e-02,2.72e+00,5.12e+00, 
7.04000e-02,2.80e+00,5.20e+00, 
7.08000e-02,3.20e+00,5.28e+00, 
7.12000e-02,3.28e+00,5.20e+00, 
7.16000e-02,3.60e+00,5.12e+00, 
7.20000e-02,3.60e+00,5.20e+00, 
7.24000e-02,3.84e+00,5.12e+00, 
7.28000e-02,3.92e+00,5.20e+00, 
7.32000e-02,4.24e+00,5.12e+00, 
7.36000e-02,4.16e+00,5.12e+00, 
7.40000e-02,4.40e+00,5.12e+00, 
7.44000e-02,4.32e+00,5.12e+00, 
7.48000e-02,4.48e+00,5.12e+00, 
7.52000e-02,4.32e+00,5.12e+00, 
7.56000e-02,4.56e+00,5.12e+00, 
7.60000e-02,4.48e+00,5.12e+00, 
7.64000e-02,4.40e+00,5.12e+00, 
7.68000e-02,4.32e+00,5.12e+00, 
7.72000e-02,3.92e+00,5.12e+00, 
7.76000e-02,3.92e+00,5.12e+00, 
7.80000e-02,3.68e+00,5.12e+00, 
7.84000e-02,3.68e+00,5.12e+00, 
7.88000e-02,3.36e+00,5.12e+00, 
7.92000e-02,3.28e+00,5.12e+00, 
7.96000e-02,2.88e+00,5.04e+00, 
8.00000e-02,2.80e+00,5.12e+00, 
8.04000e-02,2.32e+00,-8.00e-02, 
8.08000e-02,2.24e+00,-8.00e-02, 
8.12000e-02,1.84e+00,-1.60e-01, 
8.16000e-02,1.84e+00,-8.00e-02, 
8.20000e-02,1.60e+00,-8.00e-02, 
8.24000e-02,1.52e+00,-8.00e-02, 
8.28000e-02,1.28e+00,-8.00e-02, 
8.32000e-02,1.28e+00,-8.00e-02, 
8.36000e-02,9.60e-01,-8.00e-02, 
8.40000e-02,1.04e+00,-8.00e-02, 
8.44000e-02,8.00e-01,-8.00e-02, 
8.48000e-02,8.00e-01,-8.00e-02, 
8.52000e-02,8.80e-01,-8.00e-02, 
