,CH1,CH2
Second,Volt,Volt
1.06000e-02,0.00e+00,5.12e+00, 
1.07000e-02,0.00e+00,5.12e+00, 
1.08000e-02,0.00e+00,5.12e+00, 
1.09000e-02,0.00e+00,5.12e+00, 
1.10000e-02,0.00e+00,5.12e+00, 
1.11000e-02,0.00e+00,5.12e+00, 
1.12000e-02,0.00e+00,5.12e+00, 
1.13000e-02,4.00e-02,5.12e+00, 
1.14000e-02,4.00e-02,5.12e+00, 
1.15000e-02,0.00e+00,5.12e+00, 
1.16000e-02,4.00e-02,5.12e+00, 
1.17000e-02,0.00e+00,5.12e+00, 
1.18000e-02,4.00e-02,5.12e+00, 
1.19000e-02,0.00e+00,5.12e+00, 
1.20000e-02,0.00e+00,5.12e+00, 
1.21000e-02,0.00e+00,5.12e+00, 
1.22000e-02,0.00e+00,5.12e+00, 
1.23000e-02,0.00e+00,5.12e+00, 
1.24000e-02,0.00e+00,5.12e+00, 
1.25000e-02,-4.00e-02,5.04e+00, 
1.26000e-02,0.00e+00,5.12e+00, 
1.27000e-02,0.00e+00,5.04e+00, 
1.28000e-02,0.00e+00,5.12e+00, 
1.29000e-02,4.00e-02,5.04e+00, 
1.30000e-02,0.00e+00,5.12e+00, 
1.31000e-02,4.00e-02,5.04e+00, 
1.32000e-02,0.00e+00,5.12e+00, 
1.33000e-02,4.00e-02,5.04e+00, 
1.34000e-02,0.00e+00,5.12e+00, 
1.35000e-02,4.00e-02,5.04e+00, 
1.36000e-02,0.00e+00,5.12e+00, 
1.37000e-02,0.00e+00,5.04e+00, 
1.38000e-02,0.00e+00,5.12e+00, 
1.39000e-02,0.00e+00,5.04e+00, 
1.40000e-02,0.00e+00,4.96e+00, 
1.41000e-02,0.00e+00,5.12e+00, 
1.42000e-02,0.00e+00,5.04e+00, 
1.43000e-02,4.00e-02,5.12e+00, 
1.44000e-02,4.00e-02,5.04e+00, 
1.45000e-02,8.00e-02,5.12e+00, 
1.46000e-02,4.00e-02,5.12e+00, 
1.47000e-02,0.00e+00,5.04e+00, 
1.48000e-02,4.00e-02,5.12e+00, 
1.49000e-02,0.00e+00,5.04e+00, 
1.50000e-02,0.00e+00,5.04e+00, 
1.51000e-02,0.00e+00,5.12e+00, 
1.52000e-02,0.00e+00,5.12e+00, 
1.53000e-02,0.00e+00,5.04e+00, 
1.54000e-02,0.00e+00,5.04e+00, 
1.55000e-02,0.00e+00,5.12e+00, 
1.56000e-02,0.00e+00,5.04e+00, 
1.57000e-02,4.00e-02,5.12e+00, 
1.58000e-02,4.00e-02,5.04e+00, 
1.59000e-02,0.00e+00,5.12e+00, 
1.60000e-02,4.00e-02,5.04e+00, 
1.61000e-02,0.00e+00,5.12e+00, 
1.62000e-02,0.00e+00,5.12e+00, 
1.63000e-02,4.00e-02,5.04e+00, 
1.64000e-02,0.00e+00,5.12e+00, 
1.65000e-02,0.00e+00,4.96e+00, 
1.66000e-02,0.00e+00,5.04e+00, 
1.67000e-02,0.00e+00,5.12e+00, 
1.68000e-02,0.00e+00,5.04e+00, 
1.69000e-02,4.00e-02,5.12e+00, 
1.70000e-02,4.00e-02,5.04e+00, 
1.71000e-02,0.00e+00,5.12e+00, 
1.72000e-02,4.00e-02,5.04e+00, 
1.73000e-02,8.00e-02,5.12e+00, 
1.74000e-02,0.00e+00,5.12e+00, 
1.75000e-02,4.00e-02,5.04e+00, 
1.76000e-02,0.00e+00,5.12e+00, 
1.77000e-02,0.00e+00,5.04e+00, 
1.78000e-02,4.00e-02,5.12e+00, 
1.79000e-02,0.00e+00,5.04e+00, 
1.80000e-02,0.00e+00,5.12e+00, 
1.81000e-02,0.00e+00,5.04e+00, 
1.82000e-02,0.00e+00,5.04e+00, 
1.83000e-02,0.00e+00,5.12e+00, 
1.84000e-02,0.00e+00,5.04e+00, 
1.85000e-02,4.00e-02,5.12e+00, 
1.86000e-02,0.00e+00,5.04e+00, 
1.87000e-02,4.00e-02,5.12e+00, 
1.88000e-02,0.00e+00,5.04e+00, 
1.89000e-02,4.00e-02,5.12e+00, 
1.90000e-02,0.00e+00,5.12e+00, 
1.91000e-02,0.00e+00,5.04e+00, 
1.92000e-02,0.00e+00,5.12e+00, 
1.93000e-02,0.00e+00,5.04e+00, 
1.94000e-02,0.00e+00,5.04e+00, 
1.95000e-02,-4.00e-02,5.12e+00, 
1.96000e-02,0.00e+00,5.12e+00, 
1.97000e-02,4.00e-02,5.04e+00, 
1.98000e-02,0.00e+00,5.12e+00, 
1.99000e-02,4.00e-02,-8.00e-02, 
2.00000e-02,4.00e-02,-8.00e-02, 
2.01000e-02,0.00e+00,-1.60e-01, 
2.02000e-02,0.00e+00,-1.60e-01, 
2.03000e-02,4.00e-02,-8.00e-02, 
2.04000e-02,4.00e-02,-8.00e-02, 
2.05000e-02,0.00e+00,-8.00e-02, 
2.06000e-02,0.00e+00,-8.00e-02, 
2.07000e-02,0.00e+00,-8.00e-02, 
2.08000e-02,0.00e+00,-8.00e-02, 
2.09000e-02,-4.00e-02,-1.60e-01, 
2.10000e-02,0.00e+00,-8.00e-02, 
2.11000e-02,0.00e+00,-1.60e-01, 
2.12000e-02,0.00e+00,-8.00e-02, 
2.13000e-02,4.00e-02,-8.00e-02, 
2.14000e-02,4.00e-02,-8.00e-02, 
2.15000e-02,0.00e+00,-8.00e-02, 
2.16000e-02,0.00e+00,-8.00e-02, 
2.17000e-02,4.00e-02,-8.00e-02, 
2.18000e-02,0.00e+00,-8.00e-02, 
2.19000e-02,0.00e+00,-8.00e-02, 
2.20000e-02,0.00e+00,-8.00e-02, 
2.21000e-02,0.00e+00,-8.00e-02, 
2.22000e-02,0.00e+00,-8.00e-02, 
2.23000e-02,4.00e-02,-8.00e-02, 
2.24000e-02,0.00e+00,-8.00e-02, 
2.25000e-02,4.00e-02,-8.00e-02, 
2.26000e-02,0.00e+00,-8.00e-02, 
2.27000e-02,4.00e-02,-8.00e-02, 
2.28000e-02,4.00e-02,-8.00e-02, 
2.29000e-02,0.00e+00,-8.00e-02, 
2.30000e-02,4.00e-02,-8.00e-02, 
2.31000e-02,0.00e+00,-8.00e-02, 
2.32000e-02,0.00e+00,-8.00e-02, 
2.33000e-02,4.00e-02,-8.00e-02, 
2.34000e-02,0.00e+00,-8.00e-02, 
2.35000e-02,0.00e+00,0.00e+00, 
2.36000e-02,0.00e+00,-8.00e-02, 
2.37000e-02,0.00e+00,-8.00e-02, 
2.38000e-02,0.00e+00,-8.00e-02, 
2.39000e-02,0.00e+00,0.00e+00, 
2.40000e-02,0.00e+00,-8.00e-02, 
2.41000e-02,4.00e-02,0.00e+00, 
2.42000e-02,4.00e-02,-8.00e-02, 
2.43000e-02,0.00e+00,0.00e+00, 
2.44000e-02,4.00e-02,0.00e+00, 
2.45000e-02,0.00e+00,-8.00e-02, 
2.46000e-02,4.00e-02,0.00e+00, 
2.47000e-02,0.00e+00,-8.00e-02, 
2.48000e-02,0.00e+00,-8.00e-02, 
2.49000e-02,0.00e+00,-8.00e-02, 
2.50000e-02,0.00e+00,-8.00e-02, 
2.51000e-02,0.00e+00,0.00e+00, 
2.52000e-02,0.00e+00,-8.00e-02, 
2.53000e-02,4.00e-02,-8.00e-02, 
2.54000e-02,4.00e-02,-8.00e-02, 
2.55000e-02,0.00e+00,0.00e+00, 
2.56000e-02,4.00e-02,-8.00e-02, 
